model_output,target,scores,scores_inserts
bayanibonga,Bayanibonga.,['1111111111'],['[]']
bayanibhonga,Bayanibonga.,"['0111111011', '1111111111', '0111110111']","['[]', '[]', '[]']"
bayinibonga,Bayanibonga.,"['1110111111', '1110111111']","['[""3""]', '[]']"
bayanibonga,Bayanibonga.,['0111110111'],['[]']
bayanibonga,Bayanibonga.,['0111110111'],['[]']
bhayanionga,Bayanibonga.,['0111111111'],['[]']
nizothanda,Sizothanda.,['111111111'],['[]']
sizothanda,Sizothanda.,"['111111111', '111111111']","['[]', '[]']"
sizothanda,Sizothanda.,"['111111111', '111111111']","['[]', '[]']"
sizothanda,Sizothanda.,"['111111111', '111111111']","['[]', '[]']"
izothanda,Sizothanda.,['011111111'],['[]']
sizothanda,Sizothanda.,['111111111'],['[]']
sizothanda,Sizothanda.,['111111111'],['[]']
sizothanda,Sizothanda.,"['111111111', '111111111']","['[]', '[]']"
sizothanda,Sizothanda.,['111111111'],['[]']
sizothanda,Sizothanda.,['111111111'],['[]']
sizosizothanda,Sizothanda.,['111111111'],"['[""0"", ""1"", ""2"", ""3""]']"
izsothanda,Sizothanda.,['011111111'],['[]']
izulu liyabuyisa,Izulu liyabuyisa.,"['1111111111111111', '1111111111111111']","['[]', '[]']"
izulu liyabuyisa,Izulu liyabuyisa.,['1111111111111111'],['[]']
izulu liyabhuyisa,Izulu liyabuyisa.,"['1111111111111111', '1111111111011111']","['[]', '[]']"
izolu liyabuyisa,Izulu liyabuyisa.,"['1111111111111111', '1111111111111111']","['[]', '[]']"
izulu liyabuyisa,Izulu liyabuyisa.,"['1111111111111111', '1111111111111111', '1111111111111111']","['[]', '[]', '[]']"
izulu liyabuyisa,Izulu liyabuyisa.,['1111111111111111'],['[]']
izulu liyabuyisa,Izulu liyabuyisa.,['1111111111111111'],['[]']
izulu liyabuyisa,Izulu liyabuyisa.,['1111111111011111'],['[]']
izulu layiphuyasa,Izulu liyabuyisa.,"['1111111010111011', '1111111010011011']","['[""7"", ""9"", ""13""]', '[]']"
izulu liyabuyisa,Izulu liyabuyisa.,['1111111111111111'],['[]']
izululiyabuyisa,Izulu liyabuyisa.,['1111111111011111'],['[]']
izulu lwea,Izulu liyabuyisa.,"['1111111111101101', '1111110000000000']","['[""11"", ""14""]', '[]']"
siyothula,Siyothula.,"['11111111', '11111111']","['[]', '[]']"
siyothula,Siyothula.,['11111111'],['[]']
iyothula,Siyothula.,"['11111111', '11111111', '11111111']","['[]', '[]', '[]']"
iyothula,Siyothula.,['11111111'],['[]']
yothula,Siyothula.,"['11111111', '11111111']","['[]', '[]']"
siyothula,Siyothula.,"['11111111', '11111111']","['[]', '[]']"
siyothula,Siyothula.,['11111111'],['[]']
siyothula,Siyothula.,['11111111'],['[]']
siyothula,Siyothula.,['11111111'],['[]']
siyothula,Siyothula.,['11111111'],['[]']
siyothula,Siyothula.,['11111111'],['[]']
siyothula,Siyothula.,['11111111'],['[]']
uyabopha,Uyabopha.,"['1111111', '1111111']","['[]', '[]']"
uyabhokha,Uyabopha.,"['1111111', '1110111']","['[]', '[]']"
uyabhopha,Uyabopha.,['1110111'],['[]']
uyabopha,Uyabopha.,"['1111111', '1111111']","['[]', '[]']"
uyabopha,Uyabopha.,"['1111111', '1111111']","['[]', '[]']"
uyabopha,Uyabopha.,"['1111111', '1111111']","['[]', '[]']"
uyabopha,Uyabopha.,['1111111'],['[]']
uyabopha,Uyabopha.,"['1110111', '1110111', '1110111']","['[]', '[]', '[]']"
uyaphoba,Uyabopha.,['1110101'],['[]']
uyabopha,Uyabopha.,['1110111'],['[]']
uyabopha,Uyabopha.,['1110111'],['[]']
uyabopha,Uyabopha.,['1110111'],['[]']
umnthwana muhle,"Umntwana muhle, kodwa abafana babi.",['11101111111011011111111111111111'],['[]']
umnthwana muhle kholwa abafana baphi,"Umntwana muhle, kodwa abafana babi.",['11101111111111011111111111010101'],['[]']
umnthwana muhle,"Umntwana muhle, kodwa abafana babi.","['11101111111111111111111111111111', '11101111111111111111111111110101']","['[]', '[]']"
umntwana muhle kdwa abafana babi,"Umntwana muhle, kodwa abafana babi.","['11111111111111111111111111111111', '11111111111111111111111111111111', '11111111111111111111111111111111']","['[]', '[]', '[]']"
umntwana muhle,"Umntwana muhle, kodwa abafana babi.",['11111111111111111111111111111111'],['[]']
umntwana muhle,"Umntwana muhle, kodwa abafana babi.","['11111111111111111111111111111111', '11111111111111111111111111111111']","['[]', '[]']"
umntwana muhle,"Umntwana muhle, kodwa abafana babi.",['11111111111111111111111111111111'],['[]']
umnthwana mushle khwadwa abafani baphe,"Umntwana muhle, kodwa abafana babi.","['11101111111111011111111111011110', '11101111111011001111111111010100']","['[]', '[]']"
amnthwana muhle khodwan,"Umntwana muhle, kodwa abafana babi.",['01101111111111011111111111110101'],['[]']
umntwana muhle,"Umntwana muhle, kodwa abafana babi.",['11111111111111111111111111110101'],['[]']
umthwana muhle khadwa abafana babi,"Umntwana muhle, kodwa abafana babi.",['11101111111111001111101111110101'],"['[""15""]']"
umuthwana muhleolwa,"Umntwana muhle, kodwa abafana babi.",['11111111111111111111111111111111'],['[]']
usebenzaphi,Usebenzaphi?,"['1111111111', '1111111111']","['[]', '[]']"
usebenzaphi,Usebenzaphi?,"['1111111111', '1111111111']","['[]', '[]']"
usibhenzaphie,Usebenzaphi?,['1100111111'],['[]']
usebenzaphi,Usebenzaphi? ,['11111111111'],['[]']
usebenzaphi,Usebenzaphi?,['1111111111'],['[]']
usebenzaphi,Usebenzaphi?,"['1111111111', '1111111111', '1111111111']","['[]', '[]', '[]']"
usebenzaphi,Usebenzaphi?,['1111111111'],['[]']
usobhen zaphile,Usebenzaphi?,"['1100111111', '1100111111']","['[""2"", ""3""]', '[]']"
usebenzaphi,Usebenzaphi?,['1110111111'],['[]']
usebenzaphi,Usebenzaphi?,['1111111111'],['[]']
usebenzaphi,Usebenzaphi?,['1111111111'],['[]']
uzibhenza laphi,Usebenzaphi?,"['1001111111', '1000111111']","['[""1"", ""8""]', '[""8""]']"
hamba khasle,Hamba kahle.,['1111110101'],['[]']
hamba khahle,Hamba kahle.,"['1111111111', '1111111111']","['[]', '[]']"
hamba khahle,Hamba kahle.,"['1111110111', '1111110111', '1111110101']","['[]', '[]', '[]']"
hamba kahle,Hamba kahle.,"['1111111111', '1111111111']","['[]', '[]']"
hamba kahle,Hamba kahle.,"['1111111111', '1111111111', '1111111111']","['[]', '[]', '[]']"
hamba kahle,Hamba kahle.,['1111111111'],['[]']
hamba kahle,Hamba kahle.,"['1111111111', '0111111111']","['[]', '[]']"
hambakhashle,Hamba kahle.,['1110110111'],['[]']
hamba khahle,Hamba kahle.,['1111110111'],['[]']
hamba kahle,Hamba kahle.,['1111110111'],['[]']
hamba khahle,Hamba kahle.,['1111110111'],['[]']
hamba khahle,Hamba kahle.,['1111110111'],['[]']
ubuya namahashi,Ubuya namahhashi.,"['11111111110111', '11111111110111']","['[]', '[]']"
ubuya namahashi,Ubuya namahhashi.,['11111111110111'],['[]']
ubhuya nama hashi,Ubuya namahhashi.,"['10111111110111', '10111111110111']","['[]', '[]']"
ubuya namahhashi,Ubuya namahhashi.,['11111111111111'],['[]']
ubuya namahhashi,Ubuya namahhashi.,"['11111111111111', '11111111111111']","['[]', '[]']"
ubuya namahhashi,Ubuya namahhashi.,"['11111111111111', '11111111111111']","['[]', '[]']"
ubuya namahhashi,Ubuya namahhashi.,['11111111111111'],['[]']
ubuya namashlashi,Ubuya namahhashi.,"['10111111110101', '10111111110111']","['[]', '[]']"
ubuya namhlashishi,Ubuya namahhashi.,['10111111100000'],['[]']
ubuya namahhashi,Ubuya namahhashi.,['11111111110111'],['[]']
ubuya nama hasi,Ubuya namahhashi.,['11111111110101'],['[]']
ubuya namashini,Ubuya namahhashi.,['10111111110000'],['[]']
yebo,"Yebo, bagijima kahle kakhulu.",['1101111111111101011011111'],['[]']
yebo,"Yebo, bagijima kahle kakhulu.","['1111111111111101111011111', '1101101111111101111011111']","['[]', '[]']"
yebo,"Yebo, bagijima kahle kakhulu.","['1111111111111101111011111', '1111111111111101111011111', '1101101111111101011011111']","['[]', '[""15"", ""20""]', '[]']"
yebo,"Yebo, bagijima kahle kakhulu.","['1111111111111111111111111', '1111111111111111111111111']","['[]', '[]']"
yebo,"Yebo, bagijima kahle kakhulu.","['1111111111111111111111111', '1111111111111111111111111']","['[]', '[]']"
yebo,"Yebo, bagijima kahle kakhulu.",['1111111111111111111111111'],['[]']
yebo,"Yebo, bagijima kahle kakhulu.",['1111111111111111111111111'],['[]']
yebo,"Yebo, bagijima kahle kakhulu.",['1111111111111101111011111'],['[]']
yebo,"Yebo, bagijima kahle kakhulu.",['1101101111111101111011111'],['[]']
yebo,"Yebo, bagijima kahle kakhulu.",['1101101111111101111011111'],['[]']
yebo,"Yebo, bagijima kahle kakhulu.",['1101101111111101111011111'],['[]']
yebo,"Yebo, bagijima kahle kakhulu.",['1111111111111101011011111'],['[]']
sibone abanthu phesheya khwezinthaba,Sibone abantu phesheya kwezintaba.,"['1101111101111111111111111110111', '1111111111101111111111111111111']","['[]', '[]']"
sibone abantu phesheya khezinthaba,Sibone abantu phesheya kwezintaba.,"['1111111111111111111111111111111', '1111111111111111111111111111111', '1101111101111111111110111110101']","['[]', '[]', '[]']"
sibone abantuphezusheshiyakhezinthaba,Sibone abantu phesheya kwezintaba.,"['1101111111111111101111111111111', '1101111101111111111110111110111']","['[]', '[""16""]']"
iboni abantu phesheya kwezintaba,Sibone abantu phesheya kwezintaba.,['1111111111111111111111111111111'],['[]']
sibone abantu a,Sibone abantu phesheya kwezintaba.,"['1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[]']"
sibone abantu phesheya kwezintaba,Sibone abantu phesheya kwezintaba.,"['1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[]']"
sibone abantu phesheya kwezintaba,Sibone abantu phesheya kwezintaba.,['1111111111111111111111111111111'],['[]']
sibone abanthu phesheyakhwezinthaba,Sibone abantu phesheya kwezintaba.,"['1111111111111111111111111111111', '1101111101101111111110111110101']","['[]', '[]']"
sibonaabanthuw,Sibone abantu phesheya kwezintaba.,['1101101101101111101111101100101'],['[]']
sibone abantu phesheya khezintaba,Sibone abantu phesheya kwezintaba.,['1101111101111111111111111111111'],['[]']
sibone abanthu phesheyakhwezinshkhezinthaba,Sibone abantu phesheya kwezintaba.,['1111111101101111111110111110111'],"['[""26""]']"
sibone abanthuelhe,Sibone abantu phesheya kwezintaba.,['1101111101101110110110111100101'],['[]']
luphi,Luphi?,"['1111', '1111', '1111']","['[]', '[]', '[]']"
luphi,Luphi?,"['1111', '1111', '1111']","['[]', '[]', '[]']"
luphi,Luphi?,"['1111', '1111']","['[]', '[]']"
luphi,Luphi?,"['1111', '1111']","['[]', '[]']"
luphi,Luphi?,"['1111', '1111']","['[]', '[]']"
luphi,Luphi?,['1111'],['[]']
luphi,Luphi?,['1111'],['[]']
luphi,Luphi?,"['1111', '1111']","['[]', '[]']"
luphi,Luphi?,"['1111', '1111']","['[]', '[]']"
luphi,Luphi?,['1111'],['[]']
luphi,Luphi?,['1111'],['[]']
khulluphile,Luphi?,['1111'],"['[""0"", ""4""]']"
ithiye libi khowa ikhofi limnandi,Itiye libi kodwa ikhofi limnandi.,"['1011111111101111111111111111111', '1011111111101111111111111111111']","['[]', '[]']"
ithiye libikholwa ikhofi lemnandi,Itiye libi kodwa ikhofi limnandi.,['1011111111101111111111111111111'],['[]']
ithike libikhotwa ikhofi limnandi,Itiye libi kodwa ikhofi limnandi.,['1011111111101111111111111111111'],['[]']
itiye libi kodwa ikhofi limnandi,Itiye libi kodwa ikhofi limnandi.,['1111111111111111111111111111111'],['[]']
itiye libi kodwa ikhofi limnandi,Itiye libi kodwa ikhofi limnandi.,"['1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[]']"
ithiye libi kodwa ikhofu limnandi,Itiye libi kodwa ikhofi limnandi.,['1111111111111111111111111111111'],['[]']
itiye libi kodwa ikhofi limnandi,Itiye libi kodwa ikhofi limnandi.,['1111111111111111111111111111111'],['[]']
ithiye libi khwadwaikhoffilimanandi,Itiye libi kodwa ikhofi limnandi.,"['1011111111100111111111111011111', '1011111101110111111111111111111']","['[]', '[""12"", ""26""]']"
ithiyalimbi kodwa ingifladi,Itiye libi kodwa ikhofi limnandi.,['1011011111101111110000110111111'],"['[""8""]']"
ithiye libi khodwa iofilan,Itiye libi kodwa ikhofi limnandi.,['1011111111101111110111111111111'],['[]']
ithiye libikhodwa ikhofilimnandi,Itiye libi kodwa ikhofi limnandi.,['1111111111111111111111111111111'],['[]']
ilithe ibhikhodwakhufiiminandi,Itiye libi kodwa ikhofi limnandi.,['1000010101101111111111101111111'],"['[""26""]']"
abanthu abamnyama bakhona manje,Abantu abamnyama bakhona manje.,"['1111111111111111111111111111', '1111111111111111111111111111', '1011011101111111011111111111']","['[]', '[]', '[]']"
abanthu abamnyama n,Abantu abamnyama bakhona manje.,"['1111011111111111111111111111', '1111111111111111111111111111', '1111011111111111111111111111']","['[]', '[]', '[]']"
abantu abanyama bakhona manje,Abantu abamnyama bakhona manje.,"['1011111111011111111111111111', '1111111111111111111111111111']","['[]', '[]']"
abantu abamnyama bakhona manje,Abantu abamnyama bakhona manje.,"['1111111111111111111111111111', '1111111111111111111111111111']","['[]', '[]']"
abantu abamnyama bakhona manje,Abantu abamnyama bakhona manje.,"['1111111111111111111111111111', '1111111111111111111111111111', '1111111111111111111111111111']","['[]', '[]', '[]']"
abantu abamnyama bakhona manje,Abantu abamnyama bakhona manje.,"['1111111111111111111111111111', '1111111111111111111111111111']","['[]', '[]']"
abantu abamnyama bkn nje,Abantu abamnyama bakhona manje.,['1111111111111111111111111111'],['[]']
cabanthu abanyama aaj,Abantu abamnyama bakhona manje.,"['1111111111111111111111111111', '1011111111011111111111111111']","['[]', '[""23""]']"
abanthuayayeman manje,Abantu abamnyama bakhona manje.,['1011011101000111111111111111'],['[]']
abantu abamnyamanmanje,Abantu abamnyama bakhona manje.,['1011111101111111011111111111'],['[]']
abanthu abanyama bakhona manje,Abantu abamnyama bakhona manje.,['1111111111011111111111111111'],['[]']
abanthu abanyana bakhona manje,Abantu abamnyama bakhona manje.,['1011011101011011011111111111'],['[]']
ummbila uluhlaza,Ummbila uluhlaza.,"['111111111111111', '111111111111111', '111111111111111']","['[]', '[]', '[]']"
ummbila uluhlaza,Ummbila uluhlaza.,"['111111111111111', '111111111111111']","['[]', '[]']"
ummbila uluhlaza,Ummbila uluhlaza.,"['111111111111111', '111111111111111']","['[]', '[]']"
ummbila uluhlaza,Ummbila uluhlaza.,"['111111111111111', '111111111111111']","['[]', '[]']"
ummbila uluhlaza,Ummbila uluhlaza.,"['111111111111111', '111111111111111']","['[]', '[]']"
ummbila uluhlaza,Ummbila uluhlaza.,"['111111111111111', '111111111111111', '111111111111111']","['[]', '[]', '[]']"
umbila uluhlaza,Ummbila uluhlaza.,['111111111111111'],['[]']
ummbila uloshlaza,Ummbila uluhlaza.,"['111111111110111', '101111111110111']","['[]', '[]']"
ummbila uluhlalaza,Ummbila uluhlaza.,['110111111111111'],"['[""13""]']"
ummbila uluhlaza,Ummbila uluhlaza.,['111111111111111'],['[]']
ummbila uluhlahlaza,Ummbila uluhlaza.,['111111111110111'],['[]']
umbhi lalukhukhazwa,Ummbila uluhlaza.,['111011110010111'],"['[""14""]']"
uyakhuhleba,Uyakuhleba.,"['111011111', '111010101']","['[]', '[]']"
uyakhuhleba,Uyakuhleba.,['111011111'],['[]']
uya khuhleba,Uyakuhleba.,"['111011111', '111111111', '111010101']","['[]', '[]', '[]']"
uyakuhleba,Uyakuhleba.,"['111111111', '111111111']","['[]', '[]']"
uyakuhleba,Uyakuhleba.,['111111111'],['[]']
uyakuhleba,Uyakuhleba.,['111111111'],['[]']
uyakuhleba,Uyakuhleba.,['111111111'],['[]']
uyakhukhushsleba,Uyakuhleba.,"['111000111', '111001111', '111010111']","['[]', '[""4""]', '[""5""]']"
uyakhuhleba,Uyakuhleba.,['111011101'],['[]']
uyakghuhleba,Uyakuhleba.,['111011111'],['[]']
uyakhuhleba,Uyakuhleba.,['111111111'],['[]']
uyakhuhleba,Uyakuhleba.,['111011111'],['[]']
ummbila mubi,Ummbila mubi.,"['111111111111', '111111111111', '111111111111']","['[]', '[]', '[]']"
ummbilani mubi,Ummbila mubi.,"['111111111111', '111111111101']","['[]', '[]']"
umbila mubi,Ummbila mubi.,"['111111111111', '111111111111']","['[]', '[]']"
ummbila mubi,Ummbila mubi.,"['111111111111', '111111111111']","['[]', '[]']"
ummbila mubi,Ummbila mubi.,"['111111111111', '111111111111']","['[]', '[]']"
ummbila mubi,Ummbila mubi.,"['111111111111', '111111111111']","['[]', '[]']"
umbila mubi,Ummbila mubi.,['111111111111'],['[]']
ummbila mubo,Ummbila mubi.,"['111111111110', '111111111100']","['[]', '[]']"
ummbila umbo,Ummbila mubi.,['111111110000'],['[]']
mmbila mubi,Ummbila mubi.,['111111111111'],['[]']
ummbila mubi,Ummbila mubi.,['111111111101'],['[]']
ummbiya ummbi,Ummbila mubi.,['111110111111'],"['[""10""]']"
ngizothenga izingubo ngemali namuhla,Ngizothenga izingubo ngemali namuhla.,"['111111111111111111111111111111', '111111111111111111111111111111']","['[]', '[]']"
ngizothenga izingubo ngemali namuhla,Ngizothenga izingubo ngemali namuhla.,"['111111111111111111111111111111', '111111111111110111111111111111']","['[]', '[]']"
ingizothenga izingobo ngemali namuhla,Ngizothenga izingubo ngemali namuhla.,"['111111111111111111111111111111', '111111111111101111111111111111', '111111111111101111111111111111']","['[]', '[""13""]', '[""0""]']"
ngizothenga izingubo ngemali namuhla,Ngizothenga izingubo ngemali namuhla.,"['111111111111111111111111111111', '111111111111111111111111111111']","['[]', '[]']"
ngizothenga izingubo ngemali namuhla,Ngizothenga izingubo ngemali namuhla.,['111111111111111111111111111111'],['[]']
ngizothenga izingubo ngemali namuhla,Ngizothenga izingubo ngemali namuhla.,['111111111111111111111111111111'],['[]']
ngizothenga izingubonga,Ngizothenga izingubo ngemali namuhla.,['111111111111111111111111111111'],['[]']
ngizothenga izinigkubomushla,Ngizothenga izingubo ngemali namuhla.,"['111111111111111011011111111111', '111111111111111111011111111101']","['[""17""]', '[""0""]']"
ningizothenga izigubonlnmuhle,Ngizothenga izingubo ngemali namuhla.,['111111111111010111011111111110'],"['[""0""]']"
ngizothenga izingubongemali namuhla,Ngizothenga izingubo ngemali namuhla.,['111111111111111111111111111111'],['[]']
ngizothenga izingubungemali namuhla,Ngizothenga izingubo ngemali namuhla.,['111111111111111111111111111111'],"['[""0""]']"
ngizothenga izingubu,Ngizothenga izingubo ngemali namuhla.,['111111111111111111111111111101'],"['[""0""]']"
ngiyabuya,Ngiyabuya.,"['11111111', '11111111']","['[]', '[]']"
ngiyabuya,Ngiyabuya.,"['11111111', '11110111']","['[]', '[]']"
ingiyabhuya,Ngiyabuya.,"['11110111', '11110111']","['[]', '[]']"
niyabuya,Ngiyabuya.,['11111111'],['[]']
ngiyabuya,Ngiyabuya.,"['11111111', '11111111']","['[]', '[]']"
ngiyabuya,Ngiyabuya.,"['11111111', '11111111', '11111111']","['[]', '[]', '[]']"
ngiyabuya,Ngiyabuya.,['11111111'],['[]']
ingiyabuoya,Ngiyabuya.,"['11111111', '11110111']","['[]', '[""0""]']"
ingi yabhuya,Ngiyabuya.,['01111111'],['[]']
ngiyabuya,Ngiyabuya.,"['11111111', '11110111']","['[]', '[]']"
ngiyabuya,Ngiyabuya.,['11111111'],['[]']
ngiyabuya,Ngiyabuya.,['11111111'],"['[""0""]']"
bayababona,Bayababona.,"['1111011111', '1111111111']","['[]', '[]']"
bayababona,Bayababona.,"['1111111111', '0111011011']","['[]', '[]']"
bayabhabhona,Bayababona.,"['1111010111', '1111010111']","['[]', '[]']"
bayababona,Bayababona.,"['1111111111', '1111111111', '1111111111']","['[]', '[]', '[]']"
bayababona,Bayababona.,"['1111111111', '1111111111']","['[]', '[]']"
bayobabona,Bayababona.,['1111111111'],['[]']
bayababona,Bayababona.,['1111111111'],['[]']
bayababona,Bayababona.,['0111011011'],['[]']
bayababona,Bayababona.,['0111010111'],['[]']
baya babona,Bayababona.,['0111010111'],['[]']
bayabhabona,Bayababona.,"['1111111111', '0111010111']","['[]', '[]']"
bayabhona,Bayababona.,['1111001111'],['[]']
ungenzi ikhofi,Ungenzi ikhofi.,"['111111111111', '111111111111']","['[]', '[]']"
umngezi ikhofi,Ungenzi ikhofi.,"['111011111111', '111111111111', '111011111111']","['[]', '[]', '[]']"
ungenzi ikhofi,Ungenzi ikhofi.,"['111111111111', '111111111111']","['[]', '[]']"
ungyenzi ikhofi,Ungenzi ikhofi.,['101111111111'],['[]']
unungenzi ikhofi,Ungenzi ikhofi.,"['111111111111', '111111111111']","['[]', '[]']"
ungenzi ikhofi,Ungenzi ikhofi.,['111111111111'],['[]']
ungenzi ikhofi,Ungenzi ikhofi.,['111111111111'],['[]']
unigezi ikhushlofi,Ungenzi ikhofi.,"['111001110111', '111011110111']","['[]', '[]']"
ugungezi ikhafi,Ungenzi ikhofi.,['111011111011'],"['[""1""]']"
ungezi ikofi,Ungenzi ikhofi.,['111011110111'],['[]']
ungezi ikhofi,Ungenzi ikhofi.,['111011111111'],['[]']
ngizi ikhofi,Ungenzi ikhofi.,['010011111111'],['[]']
amadoda athanda uthwala,Amadoda athanda utshwala.,"['1111111111111111001111', '1111111111111111101111', '1111111111111111001111']","['[]', '[]', '[]']"
amadoda athanda utshwala,Amadoda athanda utshwala.,"['1111111111111111111111', '1111111111111111111111']","['[]', '[]']"
amadotda athanda ukhushawala,Amadoda athanda utshwala.,"['1111111111111110000011', '1111111111111111000011', '1111111111111110000000']","['[]', '[""16"", ""17""]', '[]']"
amadoda athanda utshwala,Amadoda athanda utshwala.,"['1111111111111111111111', '1111111111111111111111', '1111111111111111111111']","['[]', '[]', '[]']"
amadoda athanda utshwala,Amadoda athanda utshwala.,"['1111111111111111111111', '1111111111111111111111']","['[]', '[]']"
amadoda athanda ujwala,Amadoda athanda utshwala.,['1111111111111111111111'],['[]']
amadoda,Amadoda athanda utshwala.,['1111111111111111001111'],['[]']
amadoda athanda uthshwala,Amadoda athanda utshwala.,"['1111111111111111101111', '1111111111111111001111']","['[""17""]', '[]']"
amadoda athandautshwala,Amadoda athanda utshwala.,['1111111111111111111111'],['[]']
amadoda athanda utshwala,Amadoda athanda utshwala.,"['1111111111111111111111', '1111111111111111111111']","['[]', '[]']"
amadoda athanda utshwala,Amadoda athanda utshwala.,['1111111111111111001111'],['[]']
amadoda athandaukhishwala,Amadoda athanda utshwala.,['1111111111111111001111'],['[]']
insizwa inesixqokoesinyama,"Insizwa inesigqoko esimnyama, nebhantshi elimhlophe.",['111111111111110111111111111111011111111111111'],['[]']
insizwa gqokinyamab,"Insizwa inesigqoko esimnyama, nebhantshi elimhlophe.","['111111111111100111111101111111111111111111111', '111111111111111111111111111111111111111111111']","['[]', '[]']"
insizwa in esiqokhoezinyamanebhatshiezihlophe,"Insizwa inesigqoko esimnyama, nebhantshi elimhlophe.","['111111111111100101111111111111110000110011111', '111111111001111111111111111111110111110111111']","['[]', '[""38""]']"
insizwa inesigqoko esimnyama,"Insizwa inesigqoko esimnyama, nebhantshi elimhlophe.","['111111111111111111111111111111111111111111111', '111111111111110111111111111111111111111111111', '111111111111100111111111111111111111111111111']","['[]', '[""14""]', '[]']"
insizwa inesigqobo esimnyama,"Insizwa inesigqoko esimnyama, nebhantshi elimhlophe.",['111111111111111111111111111111111111111111111'],['[]']
insizwa inesigowe simnyama,"Insizwa inesigqoko esimnyama, nebhantshi elimhlophe.","['111111111111111111111111111111111111111111111', '111111111111111111111111111111110111111111111']","['[]', '[]']"
insizwaqyma,"Insizwa inesigqoko esimnyama, nebhantshi elimhlophe.",['111111111111111111111111111111111111111111111'],['[]']
inziswa nngqooma,"Insizwa inesigqoko esimnyama, nebhantshi elimhlophe.",['110111111011110111101111111110111111101111110'],"['[""9"", ""13""]']"
isizwaineziqukhaimnyamanjlp,"Insizwa inesigqoko esimnyama, nebhantshi elimhlophe.",['101111111111100100100011111111111111111111111'],['[]']
insizwaneiqokosimnyamanle,"Insizwa inesigqoko esimnyama, nebhantshi elimhlophe.",['111111111111101111111111111111111111111111111'],['[]']
insizweinqokomnyamanbhishelmhlophe,"Insizwa inesigqoko esimnyama, nebhantshi elimhlophe.",['111111011101110101101111111111111000101111111'],"['[""36""]']"
izingkhwa iiqoiiyamalo,"Insizwa inesigqoko esimnyama, nebhantshi elimhlophe.",['100001110000011111101001111100000000100000000'],['[]']
aphi amehlo akho,Aphi amehlo akho.,['1111111111111'],['[]']
aphi amehlo akho,Aphi amehlo akho.,"['1111111111111', '1111111111111']","['[]', '[]']"
aphii amehlo akho,Aphi amehlo akho.,"['1111111111111', '1111111111111']","['[]', '[]']"
aphi amehlo akho,Aphi amehlo akho.,['1111111111111'],['[]']
aphi amehlo akho,Aphi amehlo akho.,['1111111111111'],['[]']
aphi amehlo akho,Aphi amehlo akho.,"['1111111111111', '1111111111111']","['[]', '[]']"
aphi amehlo akho,Aphi amehlo akho.,['1111111111111'],['[]']
aphi  amashlo ago,Aphi amehlo akho.,"['1011110011111', '1111110011111']","['[]', '[]']"
aphi amaamahloakho,Aphi amehlo akho.,['1111110111111'],['[]']
aphi amehlo akho,Aphi amehlo akho.,['1011111111111'],['[]']
aphi amehlo akho,Aphi amehlo akho.,['1111111111111'],['[]']
aphialoao,Aphi amehlo akho.,['1111110001111'],"['[""3""]']"
ubutwa mfushane,Umudwa mfushane.,"['11111111111111', '11111111111110']","['[]', '[]']"
umulwa mfushane,Umudwa mfushane.,"['11111111111111', '11101111111111']","['[]', '[]']"
umutshwa umfushane,Umudwa mfushane.,['11111111111111'],"['[""7""]']"
umudwa mfushane,Umudwa mfushane.,"['11111111111111', '11111111111111']","['[]', '[]']"
umudwa mfushane,Umudwa mfushane.,['11111111111111'],['[]']
umudwa mfushane,Umudwa mfushane.,['11111111111111'],['[]']
umudwa mfushane,Umudwa mfushane.,['11111111111111'],['[]']
umutwa umfushane,Umudwa mfushane.,"['11111111111111', '11111111111111']","['[]', '[""7""]']"
umudwa mshne,Umudwa mfushane.,['11111111101111'],"['[""7""]']"
umudwa fushane,Umudwa mfushane.,['11111110111111'],['[]']
umudwa mfoshane,Umudwa mfushane.,"['11111111111111', '11111111101111']","['[]', '[]']"
umudwa ashii,Umudwa mfushane.,['11111111101010'],"['[""7""]']"
izinsukhu ziningi,Izinsuku ziningi.,"['111111011111111', '111111111111111', '111111011111111']","['[]', '[]', '[]']"
izinsukhu ziningi,Izinsuku ziningi.,"['111111111111111', '111111011111111']","['[]', '[]']"
izinsukhu ziningi,Izinsuku ziningi.,"['111111011111111', '111111111111111', '111111011111111']","['[]', '[""7""]', '[]']"
izinsuku ziningi,Izinsuku ziningi.,"['111111111111111', '111111111111111']","['[]', '[]']"
izinsuku ziningi,Izinsuku ziningi.,['111111111111111'],['[]']
izinsuku ziningi,Izinsuku ziningi.,"['111111111111111', '111111111111111']","['[]', '[]']"
izinsukuziningi,Izinsuku ziningi.,['111111111111111'],['[]']
izinsuka ziningi,Izinsuku ziningi.,"['111111101111111', '111111101111111', '111111101111111']","['[]', '[]', '[]']"
izisukhu ziningi,Izinsuku ziningi.,['111111111111111'],['[]']
izinsukuziningi,Izinsuku ziningi.,"['111111111111111', '111111111111111']","['[]', '[]']"
izinsukhuziningi,Izinsuku ziningi.,['111111111111111'],['[]']
izinsuku zingii,Izinsuku ziningi.,['111111011110000'],['[]']
ngiyahleba na,Ngiyahleba na?,"['11110111111', '11110111111']","['[]', '[]']"
