model_output,target,scores,scores_inserts
izinhlansi zinkulu,Izinhlansi zinkulu.,"['11111111111111111', '11111111111111111']","['[]', '[]']"
izinhlansi zinkulu,Izinhlansi zinkulu.,['11111111111111111'],['[]']
izinhlanisi zinkulu,Izinhlansi zinkulu.,"['11100100011110111', '11111100111111111']","['[]', '[""6""]']"
izinhlasi izinkulu,Izinhlansi zinkulu.,['11111110111110111'],"['[""10""]']"
izinhlanzi zinkulu,Izinhlansi zinkulu.,['11111111111111111'],['[]']
izinhlansi zinkulu,Izinhlansi zinkulu.,"['11111111111111111', '11111111111110111']","['[]', '[]']"
izinhlazini yizinkulu,Izinhlansi zinkulu.,['11111100011110111'],"['[""10""]']"
nithini na,Nithini na?,"['111111111', '111111111']","['[]', '[]']"
nithini na,Nithini na?,"['111111111', '111111111']","['[]', '[]']"
nithini na,Nithini na?,"['111111111', '111111111']","['[]', '[]']"
thini na,Nithini na?,['001111111'],['[]']
inithini na,Nithini na?,"['111111111', '111111111']","['[]', '[]']"
nithi ni na,Nithini na?,"['111111111', '111111111']","['[]', '[]']"
nithi ni na,Nithini na?,['111111111'],['[]']
nithini na,Nithini na?,"['111111111', '111111111']","['[]', '[]']"
nithini na,Nithini na?,['111111111'],['[]']
nithini na,Nithini na?,['111111111'],['[]']
nithina,Nithini na?,['111100111'],['[]']
ngithinina,Nithini na?,['111111111'],['[]']
iyangilupha s] namhula kakhulu ana,"Niyangihlupha namuhla kakhulu, bantwana.",['111111011111100011011111101111111'],['[]']
niyangihlupha namhula kakhulu btana,"Niyangihlupha namuhla kakhulu, bantwana.","['111111111111111011011111111101111', '111111111111111011001111111101111', '111111111111111011111111111111111']","['[]', '[]', '[]']"
iaangihluphana muhle akumbnan,"Niyangihlupha namuhla kakhulu, bantwana.","['111011111011111111011111111111111', '011111111111111101011111111101111']","['[]', '[""4""]']"
niyangihlupha namhula kakhulu bantwana,"Niyangihlupha namuhla kakhulu, bantwana.","['111111111111111011111111111111111', '111111111111110011111111111111111']","['[]', '[]']"
niyangihlupha namuhla kakhulu bn,"Niyangihlupha namuhla kakhulu, bantwana.","['111111111111111111111111111111111', '111111111111111111111111111111111', '111111111111111111111111111111111']","['[]', '[]', '[]']"
niyangihlupha namuhla kakhulu ntna,"Niyangihlupha namuhla kakhulu, bantwana.",['111111111111111111111111111111111'],['[]']
liyangihlupha namuhla kakhulu,"Niyangihlupha namuhla kakhulu, bantwana.","['111111111111111111111111111111111', '111111111111111111111111111111111']","['[]', '[]']"
ingiyanihlupha namuhla kakhulu,"Niyangihlupha namuhla kakhulu, bantwana.","['011111011111111011011111111101111', '011101011111111011011111101111111']","['[]', '[""0"", ""4""]']"
niyangihlopha namuhle kakhulu bhawana,"Niyangihlupha namuhla kakhulu, bantwana.",['111101111111111101011111111001111'],['[]']
niyangihlupha namuhla k,"Niyangihlupha namuhla kakhulu, bantwana.",['111111111111111111011111111111111'],['[]']
niyangihlupha namuhla kakuu ]nn,"Niyangihlupha namuhla kakhulu, bantwana.",['111111111111111111111111111111111'],['[]']
ingiyaluphikhula namanje kakhulu,"Niyangihlupha namuhla kakhulu, bantwana.",['000000000011100001011111101101111'],"['[""0""]']"
abantu bathule manje,Abantu bathule manje.,"['1011111011111111111', '1011011011111111111']","['[]', '[]']"
abantu bathule manje,Abantu bathule manje.,"['1111111111111111111', '1111011111111111111']","['[]', '[]']"
abantu bathulea manje,Abantu bathule manje.,['1111111111111111111'],['[]']
abantu bathule manje,Abantu bathule manje.,"['1111111111111111111', '1111111111111111111']","['[]', '[]']"
abantu bathule manje,Abantu bathule manje.,['1111111111111111111'],['[]']
abantu bathule manje,Abantu bathule manje.,['1111111111111111111'],['[]']
abantu bathule manje,Abantu bathule manje.,['1111111111111111111'],['[]']
abantu bathule manje,Abantu bathule manje.,['1111111111111111111'],['[]']
amanzu bathule manje,Abantu bathule manje.,['1011011011111111111'],['[]']
abantu bathule manje,Abantu bathule manje.,['1011111111111111111'],['[]']
abantu bathule manje,Abantu bathule manje.,['1111111111111111111'],['[]']
abantu bathula manje,Abantu bathule manje.,['1011011011110111111'],['[]']
amaceku ayakhuluma,Amaxhegu ayakhuluma.,"['11111111111111111', '11101111111111111']","['[]', '[]']"
amaxhegu ayakhuluma,Amaxhegu ayakhuluma.,"['11111111111111111', '11111111111111111']","['[]', '[]']"
amachegu ayakhuluma,Amaxhegu ayakhuluma.,['11101111111111111'],['[]']
machegu ayakhuluma,Amaxhegu ayakhuluma.,"['01101111111111111', '01111111111111111']","['[]', '[]']"
amaxhegu ayakhuluma,Amaxhegu ayakhuluma.,"['11111111111111111', '11111111111111111']","['[]', '[]']"
amaxhegu ayakhuluma,Amaxhegu ayakhuluma.,"['11111111111111111', '11111111111111111']","['[]', '[]']"
amaxhehu ayakhuluma,Amaxhegu ayakhuluma.,['11111011111111111'],['[]']
amackhukhul ayakukhuluma,Amaxhegu ayakhuluma.,"['11100001111111111', '11100011111111111']","['[""11"", ""12""]', '[""11""]']"
amaciyengu ayakhuluma,Amaxhegu ayakhuluma.,['11100001111111111'],['[]']
amaxhegu ayakhuluma,Amaxhegu ayakhuluma.,['11111111111111111'],['[]']
amaxeku ayakhuluma,Amaxhegu ayakhuluma.,['11111111111111111'],['[]']
amathengu ayakhuluma,Amaxhegu ayakhuluma.,['11100101111111111'],['[]']
umfana ubuye nininga,Umfana ubuye nini na?,"['11111111011111111111', '11111111111111111111', '11111111011111111111']","['[]', '[]', '[]']"
umfana ubuye ninina,Umfana ubuye nini na?,"['11111111111111111111', '11111111111111111111', '11111111011111111111']","['[]', '[""5""]', '[]']"
umbhana ubuye nini na,Umfana ubuye nini na?,"['11111111011111111111', '11111111011111111111']","['[]', '[]']"
umfana ubuye nini na,Umfana ubuye nini na?,"['11111111111111111111', '11111111111111111111']","['[]', '[]']"
umfana ubuye nini na,Umfana ubuye nini na?,"['11111111111111111111', '11111111111111111111', '11111111111111111111']","['[]', '[]', '[]']"
umfana ubuye nini na,Umfana ubuye nini na?,"['11111111111111111111', '11111111111111111111']","['[]', '[]']"
umfana ninina,Umfana ubuye nini na?,['11111111111111111111'],['[]']
umfana ubuyo ninana,Umfana ubuye nini na?,['11111111011011110111'],['[]']
umvana ubuyinina,Umfana ubuye nini na?,['11111111000010011111'],['[]']
umfana ubuye ninina,Umfana ubuye nini na?,['11111111111111111111'],['[]']
umfana ubuye ninana,Umfana ubuye nini na?,['11111111011111110111'],['[]']
umphuna ubuhle ninana,Umfana ubuye nini na?,['11101111010111110111'],['[]']
umfazi uyaziletha izimaphe nezimbhondo,Umfazi uyaziletha izimpaphe nezimpondo.,"['111111111111111111111011111111101111', '111111111111111111111111111111111111', '111111111111111111111011111111011111']","['[]', '[]', '[]']"
umfazi uyaziletha izimpaphe nezimbondo,Umfazi uyaziletha izimpaphe nezimpondo.,"['111111111111111111111011111111101111', '111111111111111111111011111111101111']","['[]', '[]']"
umfazi uyoziletha izibaphe nezimphondo,Umfazi uyaziletha izimpaphe nezimpondo.,['111111111111111111111011111111101111'],['[]']
umfazi uyaziletha izimpaphe nezimpondo,Umfazi uyaziletha izimpaphe nezimpondo.,"['111111111111111111111111111111111111', '111111111111111111111111111111111111']","['[]', '[]']"
umfazi uyaziletha izimpaphe nezempondo,Umfazi uyaziletha izimpaphe nezimpondo.,"['111111111111111111111111111111111111', '111111111111111111111111111111111111']","['[]', '[]']"
ummfazi uyaziletha izimpabhe nezimpondo,Umfazi uyaziletha izimpaphe nezimpondo.,['111111111111111111111111111111111111'],"['[""2""]']"
umfazi uyaziletha izimpaphenzimpono,Umfazi uyaziletha izimpaphe nezimpondo.,['111111111111111111111111111111111111'],['[]']
umfazi uyaziletha izipab snezimbondo,Umfazi uyaziletha izimpaphe nezimpondo.,"['111111111111111111111011111111101111', '111111111111111011111001111111111111', '111111111111111011110011111011101111']","['[""12""]', '[]', '[]']"
amafazi uyalitale,Umfazi uyaziletha izimpaphe nezimpondo.,['011111111111111111111111111111111111'],"['[""0""]']"
umfazi uyaziletha izimpabe nezimbondo,Umfazi uyaziletha izimpaphe nezimpondo.,['111111111111111111111111111111111111'],['[]']
umvazi uyaziletha izimbambe nezimbhondo,Umfazi uyaziletha izimpaphe nezimpondo.,['111111111111111111111011111111011111'],['[]']
umfazi uyazileda izimpahla iziondo,Umfazi uyaziletha izimpaphe nezimpondo.,['111111111111110111111010110011111111'],['[]']
yabakeza,Ngiyabageza.,['1111110111'],['[]']
ngiyabakeza,Ngiyabageza.,"['1111110011', '1111010111']","['[]', '[]']"
ngiyabageza,Ngiyabageza.,"['1111111111', '1111011111']","['[""3""]', '[""0""]']"
ngiyabageza,Ngiyabageza.,['1111111111'],['[]']
ngiyabageza,Ngiyabageza.,"['1111111111', '1111111111']","['[]', '[]']"
ngiyabageza,Ngiyabageza.,"['1111111111', '1111111111']","['[]', '[]']"
ngiyabageza,Ngiyabageza.,['1111111111'],['[]']
ingiyayabhageza,Ngiyabageza.,['1111111111'],"['[""0"", ""4"", ""6""]']"
ningibhakaza,Ngiyabageza.,['0011010111'],"['[""0"", ""5"", ""7""]']"
ngiyabhakeza,Ngiyabageza.,['1111011111'],['[]']
ngiyabhakeza,Ngiyabageza.,['1111011111'],['[]']
ingiyabhangeza,Ngiyabageza.,['1111011111'],"['[""0""]']"
uyajama na,Uyajama na?,"['1111111111', '1111111111']","['[]', '[]']"
uyajama na,Uyajama na?,"['1111111111', '1111111111']","['[]', '[]']"
uyajama na,Uyajama na?,"['1111111111', '1111111111']","['[]', '[]']"
uyajama na,Uyajama na?,"['1111111111', '1111111111', '1111111111']","['[]', '[]', '[]']"
kuyajama na,Uyajama na?,['1111111111'],['[]']
uyajama na,Uyajama na?,['1111111111'],['[]']
uyajama na,Uyajama na?,['1111111111'],['[]']
uyagamana,Uyajama na?,['1110111111'],['[]']
uyajama na,Uyajama na?,['1111111111'],['[]']
uyajama na,Uyajama na?,['1111111111'],['[]']
uya uyajamana,Uyajama na?,['1111111111'],['[]']
uyajama na,Uyajama na?,['1111111111'],['[]']
angathanda,Angathanda.,"['11111111', '11111111']","['[]', '[]']"
angathanda,Angathanda.,"['11111111', '11111111']","['[]', '[]']"
angathanda,Angathanda.,"['11111111', '11111111', '11111111']","['[]', '[]', '[]']"
angathanda,Angathanda.,"['11111111', '11111111']","['[]', '[]']"
angathanda,Angathanda.,"['11111111', '11111111']","['[]', '[]']"
angathanda,Angathanda.,"['11111111', '11111111']","['[]', '[]']"
angathanda,Angathanda.,"['11111111', '11111111']","['[]', '[]']"
angathanda,Angathanda.,"['11111111', '11111111']","['[]', '[]']"
angathanda,Angathanda.,['11111111'],['[]']
angathanda,Angathanda.,['11111111'],['[]']
angathanda,Angathanda.,['11111111'],['[]']
angathanda,Angathanda.,"['11111111', '11111111']","['[]', '[]']"
amandoda akhona,Amadoda akhona.,['1111111111111'],['[]']
amadoda akhona,Amadoda akhona.,"['1111111111111', '1111111111111']","['[]', '[]']"
amadoda akhona,Amadoda akhona.,"['1111111111111', '1111111111111']","['[]', '[]']"
amadoda akhona,Amadoda akhona.,"['1111111111111', '1111111111111']","['[]', '[]']"
amadoda akhona,Amadoda akhona.,['1111111111111'],['[]']
amadoda akhona,Amadoda akhona.,"['1111111111111', '1111111111111']","['[]', '[]']"
amadoda akhona,Amadoda akhona.,['1111111111111'],['[]']
amadoda akhona,Amadoda akhona.,['1111111111111'],['[]']
amadoda akhona,Amadoda akhona.,"['1111111111111', '1111111111111']","['[]', '[]']"
amadoda akhona,Amadoda akhona.,['1111111111111'],['[]']
amadoda akhona,Amadoda akhona.,['1111111111111'],['[]']
amadoda akhona,Amadoda akhona.,['1111111111111'],['[]']
onje ubuthi bukhona na,Konje ubuthi bukhona na?,"['111111111111111111111', '111111111111111111111']","['[]', '[]']"
konje ubuthi bukhona na,Konje ubuthi bukhona na?,"['011111111111111111111', '011111111111111111111']","['[]', '[]']"
ontshe ubuthi bukhona na,Konje ubuthi bukhona na?,['011111111111111111111'],['[]']
konje ubuthi bukhona na,Konje ubuthi bukhona na?,['111111111111111111111'],['[]']
kunje ubuthi obukhona na,Konje ubuthi bukhona na?,['111111111111111111111'],"['[""12""]']"
konje ubuphi bukhona na,Konje ubuthi bukhona na?,['111111111111111111111'],['[]']
konje ubuthi bukhona na,Konje ubuthi bukhona na?,['111111111111111111111'],['[]']
khonje ubuthi bukhonana,Konje ubuthi bukhona na?,"['011111101111001111111', '111111111111111111111', '011111101111001111111']","['[]', '[]', '[]']"
konjeubuthi bukona na,Konje ubuthi bukhona na?,['111111101111011111111'],['[]']
khonje ubuthi bukhona na,Konje ubuthi bukhona na?,['011111101011111111111'],['[]']
khonje ubuthi bukhonana,Konje ubuthi bukhona na?,['011111101111011111111'],['[]']
khone umbuthi obukhona na,Konje ubuthi bukhona na?,['010011101111011111111'],"['[""7""]']"
iza,Biza.,"['1111', '1111']","['[]', '[]']"
biza,Biza.,"['0111', '1111', '0111']","['[]', '[]', '[]']"
bhiza,Biza.,"['0111', '1111']","['[]', '[]']"
iza,Biza.,['1111'],['[]']
biza,Biza.,['1111'],['[]']
khola ukutsu khona namhlanje,Biza.,['1111'],['[]']
biza,Biza.,['1111'],['[]']
biza,Biza.,"['1111', '0111']","['[]', '[]']"
bhiza,Biza.,['0111'],['[]']
biza,Biza.,['0111'],['[]']
biza,Biza.,['0111'],['[]']
biza,Biza.,['0111'],['[]']
lala laphaesuunde,"Hlala lapha, ubhale, ufunde.",['1111111111111011111111'],['[]']
hlalalapha ubale ufunde,"Hlala lapha, ubhale, ufunde.",['1111111111111111111111'],['[]']
hlala laphaubhale ufunde,"Hlala lapha, ubhale, ufunde.","['1111111111111111111111', '1111111111111111111111']","['[]', '[]']"
alalapha ubhale ufunde,"Hlala lapha, ubhale, ufunde.","['1111111111111111111111', '1111111111111111111111', '1111111111111111111111']","['[]', '[]', '[]']"
lala lapha ubhale ufunde,"Hlala lapha, ubhale, ufunde.","['1111111111111111111111', '1111111111111111111111']","['[]', '[]']"
hlala lapha ubhale ufune,"Hlala lapha, ubhale, ufunde.",['1111111111111111111111'],['[]']
hlala lapha,"Hlala lapha, ubhale, ufunde.",['1111111111111111111111'],['[]']
hlala laphe ushale ufunde,"Hlala lapha, ubhale, ufunde.",['1111111101101111111111'],['[]']
uhlala lapha ubuhle munde,"Hlala lapha, ubhale, ufunde.",['1111111111100001000110'],"['[""0""]']"
hlala lapha,"Hlala lapha, ubhale, ufunde.",['1111111111111111111111'],['[]']
hlala lapha ] ubale ufunde,"Hlala lapha, ubhale, ufunde.",['1111111111101011111111'],['[]']
hlala laphe ubushana umfundi,"Hlala lapha, ubhale, ufunde.",['1111111101000001000000'],['[]']
iyahamba manje,"Siyahamba manje, asihambe ngamahhashi.","['111101111111111111111111111110111', '111111111111111111111111111111111', '111101111111111111111111111110111']","['[]', '[]', '[]']"
siyahamba manje asihambe ngamahhashi,"Siyahamba manje, asihambe ngamahhashi.","['111111111111111111111111111111111', '111111111111111111111111111110111']","['[]', '[]']"
siyahamba manje asihama ngamahhashi,"Siyahamba manje, asihambe ngamahhashi.","['111111111111111111111111111110111', '111111111111111111111110111111111', '111111111111111111111110111110111']","['[]', '[""23""]', '[]']"
siyahamba manjeingamaa,"Siyahamba manje, asihambe ngamahhashi.",['111111111111111111111111111111111'],['[]']
yahamba manje,"Siyahamba manje, asihambe ngamahhashi.","['111111111111111111111111111111111', '111111111111111111111111111111111']","['[]', '[]']"
siyahmba manje,"Siyahamba manje, asihambe ngamahhashi.","['111101111111111111101110111111111', '111101111111111111101111111111111']","['[]', '[]']"
siyamba manje,"Siyahamba manje, asihambe ngamahhashi.",['111101111111111111101111111111111'],['[]']
siahamba manje,"Siyahamba manje, asihambe ngamahhashi.",['111111111111111111111110111110000'],['[]']
siyahamba manje,"Siyahamba manje, asihambe ngamahhashi.",['111111111111111101111111111110111'],['[]']
siyahamba manje,"Siyahamba manje, asihambe ngamahhashi.",['111111111111111111111111111110111'],['[]']
siyahamba manje asihambi gamashi,"Siyahamba manje, asihambe ngamahhashi.",['111111111111111111111110111110111'],['[]']
sihambe manje aiaae ngabashini,"Siyahamba manje, asihambe ngamahhashi.",['111111110111111111111111111000000'],['[]']
unamanga,Unamanga.,"['1111111', '1111111']","['[]', '[]']"
unamanga,Unamanga.,"['1111111', '1111111']","['[]', '[]']"
unamanga,Unamanga.,['1111101'],"['[""2""]']"
unamanga,Unamanga.,['1111111'],['[]']
unamanga,Unamanga.,"['1111111', '1111111', '1111111']","['[]', '[]', '[]']"
unamanga,Unamanga.,['1111111'],['[]']
unamanga,Unamanga.,"['1111111', '1111111']","['[]', '[]']"
unamanga,Unamanga.,"['1111111', '1111111']","['[]', '[]']"
unamanga,Unamanga.,['1111111'],['[]']
unamanga,Unamanga.,['1111111'],['[]']
unamanga,Unamanga.,['1111111'],['[]']
unamanga,Unamanga.,"['1111111', '1111111']","['[]', '[]']"
inemilomo,Sinemilomo.,"['1111111111', '1111111111']","['[]', '[]']"
sinemilomo,Sinemilomo.,"['1111111111', '1111111111']","['[]', '[]']"
fine  milomo,Sinemilomo.,"['1111111111', '1111111111']","['[]', '[]']"
inemilomo,Sinemilomo.,"['1111111111', '1111111111', '1111111111']","['[]', '[]', '[]']"
nemilomo,Sinemilomo.,['1111111111'],['[]']
sinemilomo,Sinemilomo.,['1111111111'],['[]']
sinemilomo,Sinemilomo.,['1111111111'],['[]']
sinimilombo,Sinemilomo.,"['1110111111', '1110111111']","['[]', '[]']"
sinimilo mulo,Sinemilomo.,['1111111111'],"['[""8"", ""9""]']"
sinemilomo,Sinemilomo.,"['1111111111', '1111111111']","['[]', '[]']"
sinemilomo,Sinemilomo.,['1111111111'],['[]']
isingilo,Sinemilomo.,['0101111100'],['[]']
atani imimese,Thathani imimese.,['11111111111111'],['[]']
thathani imimese,Thathani imimese.,"['11111111111111', '11111111111111']","['[]', '[]']"
fathani imise,Thathani imimese.,"['11111111110011', '11111111111010']","['[]', '[""11"", ""14""]']"
athani imimese,Thathani imimese.,['11111111111111'],['[]']
hathani imimese,Thathani imimese.,"['11111111111111', '11111111111111']","['[]', '[]']"
thathani imimizi,Thathani imimese.,"['11111111111000', '11111111111010']","['[]', '[]']"
thathani imimese,Thathani imimese.,['11111111111111'],['[]']
thathani imimese,Thathani imimese.,"['11111111111111', '11111111111111']","['[]', '[]']"
thathani imisesi,Thathani imimese.,['11111111000000'],['[]']
thathani imimese,Thathani imimese.,['11111111111111'],['[]']
thathani imimese,Thathani imimese.,['11111111111111'],['[]']
thathani imisini,Thathani imimese.,['11111111110000'],['[]']
ingosi iyabasiza,INkosi iyabasiza.,"['1101111111111111', '1101111111011111']","['[]', '[]']"
inkosi iyabhasiza,INkosi iyabasiza.,"['1101111111111111', '1101111111111111']","['[]', '[]']"
inkosi iyabiza,INkosi iyabasiza.,['1111111111000011'],['[]']
inkosi iyabasiza,INkosi iyabasiza.,"['1111111111111111', '1111111111111111', '1111111111111111']","['[]', '[]', '[]']"
inkosi iyabasiza,INkosi iyabasiza.,['1111111111111111'],['[]']
inkosi iyabasiza,INkosi iyabasiza.,"['1111111111111111', '1111111111111111']","['[]', '[]']"
inkosi iyabasiza,INkosi iyabasiza.,['1111111111111111'],['[]']
inkhosi iyabhasiza,INkosi iyabasiza.,"['1001111111011111', '1111111111111111', '1101111111011111']","['[]', '[]', '[]']"
umkhosi uyabasiza,INkosi iyabasiza.,['0101111011011111'],['[]']
inkosi iyabasiza,INkosi iyabasiza.,['1111111111011111'],['[]']
innkosi iyabhasiza,INkosi iyabasiza.,['1101111111011111'],['[]']
inkhosi iyabasiza,INkosi iyabasiza.,['1101111111011111'],['[]']
abantu baguma izidagongamandla,Abantu banquma izintango ngamandla.,"['1111011111011111111011111111111', '1111011111011111111011111111111']","['[]', '[""24""]']"
abantu banquma izitangongamandla,Abantu banquma izintango ngamandla.,"['1111011111011111111011111111111', '1111011111011111111111111111111']","['[]', '[]']"
abantubakuma izithango ngamandla,Abantu banquma izintango ngamandla.,['1011111111011111110011111111111'],['[]']
abantu bacuma izintangongamandla,Abantu banquma izintango ngamandla.,['1111111110011111111111111111111'],['[]']
abantu bancuma izintango ngamandla,Abantu banquma izintango ngamandla.,"['1111111111011111111111111111111', '1111111111011111111111111111111']","['[]', '[]']"
abantu banquma izintango ngamandla,Abantu banquma izintango ngamandla.,"['1111111111111111111111111111111', '1111111111111111111111111111111', '1111111111111111111111111111111']","['[]', '[]', '[]']"
abantu banquma izintango ngamandla,Abantu banquma izintango ngamandla.,['1111111111111111111111111111111'],['[]']
abantu bauma izitangongamandala,Abantu banquma izintango ngamandla.,['1011011011011111111011111111000'],['[]']
abantu baqima izithango amandla,Abantu banquma izintango ngamandla.,['1011011110001111111011111111111'],['[]']
abantu banquma izintango ngamandla,Abantu banquma izintango ngamandla.,['1111111111111111111111111111111'],['[]']
abantu bangquma izintango ngamandla,Abantu banquma izintango ngamandla.,['1011011010111111111011111111111'],['[]']
abantu baphuma izithango ngamanhla,Abantu banquma izintango ngamandla.,['1011011010011111110011111111001'],['[]']
biyafuna ukhize thenga,Ngiyafuna ukuzithenga.,"['111111111100111111', '111111111100111111', '111111111110101111']","['[]', '[]', '[]']"
ngiyafuna ukuzithenga,Ngiyafuna ukuzithenga.,"['111111111101111111', '111111111101111111']","['[]', '[""12""]']"
ngiyafuna ukuzithenga,Ngiyafuna ukuzithenga.,['111111111101111111'],"['[""0""]']"
niyafuna ukuzithenga,Ngiyafuna ukuzithenga.,['011111111111111111'],['[]']
ngiyafuna ukuzithenga,Ngiyafuna ukuzithenga.,['111111111111111111'],['[]']
ngiyafuna ukuthenga,Ngiyafuna ukuzithenga.,['111111111111111111'],['[]']
ngiyafuna ukuzithenga,Ngiyafuna ukuzithenga.,['111111111111111111'],['[]']
ngiyafuna ukuzithenga,Ngiyafuna ukuzithenga.,"['111111111111111111', '111111111111111111', '111111111111111111']","['[]', '[]', '[""0""]']"
ni ngiyafuna ukuzithinga,Ngiyafuna ukuzithenga.,"['111111111111111111', '111111111101111111']","['[""0""]', '[""0""]']"
ngiyafuna ukuzithenga,Ngiyafuna ukuzithenga.,['111111111101111111'],['[]']
ngiyafuna ukuzithenga,Ngiyafuna ukuzithenga.,['111111111111111111'],['[]']
ngiyafuna ukzithenga,Ngiyafuna ukuzithenga.,['111111111101111111'],"['[""0""]']"
unani na,Unani na?,['11111111'],['[]']
unani na,Unani na?,['11111111'],['[]']
unani na,Unani na?,"['11111111', '11111111']","['[]', '[]']"
unani na,Unani na? ,"['111111111', '111111111']","['[]', '[]']"
unani na,Unani na?,['11111111'],['[]']
] unani na,Unani na?,"['11111111', '11111111', '11111111']","['[]', '[]', '[]']"
unani na,Unani na?,['11111111'],['[]']
unani na,Unani na?,['11111111'],['[]']
unani na,Unani na?,['11111111'],['[]']
unani na,Unani na?,['11111111'],['[]']
unani na,Unani na?,['11111111'],['[]']
unanina,Unani na?,['11111111'],['[]']
yebo,"Yebo, ngiyamazi impela.",['11111111111111110111'],['[]']
yebon,"Yebo, ngiyamazi impela.","['11111111111111110111', '11011111111111110111']","['[]', '[""5""]']"
yebongim,"Yebo, ngiyamazi impela.","['11111111111111110111', '11111111111111110111']","['[]', '[""5""]']"
yebo,"Yebo, ngiyamazi impela.",['11111111111111111111'],['[]']
yebo,"Yebo, ngiyamazi impela.","['11111111111111111111', '11111111111111111111']","['[]', '[]']"
yebo,"Yebo, ngiyamazi impela.",['11111111111111111111'],['[]']
yebo,"Yebo, ngiyamazi impela.","['11111111111111111111', '11111111111111111111']","['[]', '[]']"
yebo,"Yebo, ngiyamazi impela.","['11111111111111110111', '11011111111111110111']","['[]', '[""5""]']"
yebo,"Yebo, ngiyamazi impela.",['11011010111111110011'],['[]']
yebo,"Yebo, ngiyamazi impela.",['11111111111111111111'],['[]']
yebon,"Yebo, ngiyamazi impela.",['11011111111111110111'],['[]']
yebo,"Yebo, ngiyamazi impela.",['11111111111111110111'],['[]']
imithi iyababa impela,Imithi iyababa impela.,"['11111111111111110111', '11111111111111111111', '11111111101011110111']","['[]', '[]', '[]']"
imithi iyababa impela,Imithi iyababa impela.,"['11111111111111110111', '11111111101011110111']","['[]', '[]']"
imithi iyababa impela,Imithi iyababa impela.,"['11111111111111110111', '11111111101011110111']","['[]', '[]']"
imithi iyababa impela,Imithi iyababa impela.,['11111111111111111111'],['[]']
imithi iyababa impela,Imithi iyababa impela.,"['11111111111111111111', '11111111111111111111']","['[]', '[]']"
imithi yababa impela,Imithi iyababa impela.,['11111111111111111111'],['[]']
imithi iyababa impela,Imithi iyababa impela.,['11111111111111111111'],['[]']
imithi iyababa impela,Imithi iyababa impela.,"['11111111111111110111', '11111111101011110111']","['[]', '[]']"
imithi yababa impila,Imithi iyababa impela.,['11111111111111110011'],['[]']
imithi iyababa impela,Imithi iyababa impela.,['11111111101011110111'],['[]']
imithi iyababa impela,Imithi iyababa impela.,['11111111101011110111'],['[]']
imithi iyababa impela,Imithi iyababa impela.,['11111111101111110111'],['[]']
ngiyakholwa ukuthi ukhona namhlanje,Ngiyakholwa ukuthi ukhona namhlanje.,"['11111111110111111111111111111', '11111111110111111111111101111']","['[]', '[]']"
ngiyakholwa ukuthi ukhona namhlanje,Ngiyakholwa ukuthi ukhona namhlanje.,"['11111111110111111111111111111', '11111111110111111111111111111']","['[]', '[""0""]']"
ngiyakowa ukuthi ukhona namhlanje,Ngiyakholwa ukuthi ukhona namhlanje.,"['11111111111111111111111111111', '11111111111111111111111101111']","['[]', '[""0""]']"
ngiyakhohlwa ukuthi ukhona namhlanje,Ngiyakholwa ukuthi ukhona namhlanje.,"['11111111111111111111111111111', '11111101111111111111111111111']","['[]', '[]']"
ngiyakholwa ukuthi ukhona namhlanje,Ngiyakholwa ukuthi ukhona namhlanje.,['11111111111111111111111111111'],"['[""18""]']"
yebo,Ngiyakholwa ukuthi ukhona namhlanje.,['00001111111111111111111111111'],['[]']
ngiyakholelwa ukuthi ukhona namhlanje,Ngiyakholwa ukuthi ukhona namhlanje.,['11111111111111111111111111111'],"['[""6""]']"
ingiyalowa ukuthi ukonanamanhle,Ngiyakholwa ukuthi ukhona namhlanje.,['11110101110111111111111000111'],['[]']
ngiyakholwa ukuthi ukona namhlanje,Ngiyakholwa ukuthi ukhona namhlanje.,['11111111110111111111111111111'],"['[""0""]']"
ngiyakholwa ukuthi ukhona namhlanje,Ngiyakholwa ukuthi ukhona namhlanje.,['11111111110111111111111111111'],['[]']
ngiyakholwa ukuthi ukhona namhlanje,Ngiyakholwa ukuthi ukhona namhlanje.,['11111111111111111111111111111'],['[]']
ingiyakhokhulwa kuthi ukhonamanje,Ngiyakholwa ukuthi ukhona namhlanje.,"['11110011111111111111111111111', '11111111111111111111111101111']","['[""4"", ""5""]', '[""0"", ""4""]']"
siyanibiza,Siyanibiza.,"['1111110111', '1111110111', '1111110111']","['[]', '[]', '[]']"
siyanibiza,Siyanibiza.,['1111110111'],['[]']
siyanibiza,Siyanibiza.,"['1111110111', '1111110111']","['[]', '[]']"
kiyanibiza,Siyanibiza.,"['1111111111', '1111111111']","['[]', '[]']"
yanibiza,Siyanibiza.,"['1111111111', '1111111111']","['[]', '[]']"
siyanibiza,Siyanibiza.,"['1111111111', '1111111111', '1111111111']","['[]', '[]', '[]']"
siyanibiza,Siyanibiza.,['1111111111'],['[]']
siyabhani biza,Siyanibiza.,"['1111001111', '1111111111']","['[""3""]', '[""4""]']"
siyanibiza,Siyanibiza.,['1111110111'],['[]']
siyanibiza,Siyanibiza.,['1111110111'],['[]']
siyanibiza,Siyanibiza.,['1111110111'],['[]']
siyani biza,Siyanibiza.,['1111110111'],['[]']
bayahleva,Bayahleba.,['11111111'],['[]']
